Site,Participant_ID,RowNumber,session_id,age,attentioncorrect,big5_01_E,big5_02_Ar,big5_03_C,big5_04_N,big5_05_O,big5_06_Er,big5_07_A,big5_08_Cr,big5_09_Nr,big5_10_Or,elm_01,elm_02,elm_03,elm_04,elm_05,gender,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06r,intrinsic_07r,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,major,mood_01,mood_02,nfc_01,nfc_02r,nfc_03r,nfc_04,nfc_05,nfc_06r,selfesteem,stress_01,stress_02r,stress_03r,stress_04,year,Station
AshlandUniversity,21,205,7397377,20,NA,6,5,5,2,5,3,6,3,4,2,7,8,7,6,6,1,2,3,3,3,2,3,2,3,3,2,2,3,3,2,3,Nursing,2,2,3,2,4,3,3,4,4,2,4,4,2,2,1
AshlandUniversity,22,209,7397497,18,I read the instructions,7,3,7,3,4,1,6,3,3,2,6,3,1,4,5,1,3,3,3,4,2,2,2,3,4,2,3,1,3,3,4,Early Childhood Education,5,5,3,2,4,3,4,4,5,3,3,4,4,1,1
AshlandUniversity,23,214,7399330,19,I read the instructions,4,3,6,4,7,2,7,3,7,4,6,6,5,6,5,1,2,1,1,4,2,2,2,3,2,3,3,1,3,3,3,Intervention Specialist K-12,2,2,3,2,4,3,2,2,4,2,4,4,3,1,1
AshlandUniversity,24,217,7399569,18,I read the instructions,4,1,6,1,7,5,6,1,7,4,7,6,7,8,6,1,1,1,1,3,3,2,4,2,1,4,3,1,3,2,4,Nursing,1,1,2,3,5,2,1,3,5,2,5,4,2,1,1
AshlandUniversity,25,2861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AshlandUniversity,26,2863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AshlandUniversity,27,260,7407138,20,I read the instructions,7,5,6,6,6,2,6,1,4,4,6,6,5,7,5,1,2,2,1,3,2,2,2,3,3,3,4,2,3,1,3,Biolgy,3,2,2,3,4,3,3,2,5,4,3,3,4,2,1
AshlandUniversity,28,262,7407324,21,I read the instructions,6,6,6,5,6,5,6,2,4,4,6,5,4,4,4,1,3,3,2,3,3,4,3,3,2,3,2,1,3,1,3,NA,2,2,3,2,3,2,2,2,5,4,4,4,4,NA,1
AshlandUniversity,29,269,7407467,18,I read the instructions,5,5,7,4,5,6,7,1,7,1,9,7,7,4,7,1,1,1,1,3,2,3,3,3,3,4,4,4,4,4,4,Psychology,4,4,4,4,4,2,2,2,5,3,3,3,3,1,1
AshlandUniversity,30,284,7408019,18,i read the instructions,6,3,7,2,6,5,6,2,7,2,8,8,9,9,9,2,2,2,2,3,3,3,3,3,3,3,3,2,3,1,3,Integrated Social Studies,2,2,2,3,2,2,3,4,6,2,5,4,2,1,1
AshlandUniversity,31,2986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AshlandUniversity,32,2868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AshlandUniversity,33,334,7413094,18,I read the instructions,6,2,7,5,7,5,6,3,5,2,9,9,8,7,8,1,4,4,3,4,4,2,2,3,3,3,3,3,3,4,4,Athletic Training,2,2,5,1,3,3,3,2,6,2,4,4,2,2,1
AshlandUniversity,34,336,7413208,19,I read instructions,5,3,6,5,5,4,5,1,4,4,7,6,5,6,6,1,2,3,2,2,2,3,3,3,3,4,3,3,3,2,3,Psychology,2,2,3,4,2,2,4,3,4,4,4,2,3,1,1
AshlandUniversity,35,344,7413320,18,Ice Skating,4,3,6,6,5,6,6,2,3,3,7,7,8,7,9,1,2,2,2,4,3,4,3,4,2,4,3,2,3,3,4,Athletic Training,3,2,3,2,3,3,4,3,5,3,4,4,3,1,1
AshlandUniversity,36,368,7415180,18,I read the instructions,5,5,6,5,3,3,5,2,4,2,5,6,6,7,6,1,2,2,2,2,2,3,3,3,2,4,3,2,3,3,4,Nursing,3,2,3,4,3,2,3,4,6,4,3,3,4,1,1
AshlandUniversity,37,373,7415265,18,NA,2,4,6,7,5,5,6,5,2,1,9,6,7,7,9,1,4,4,4,4,4,2,2,3,2,4,3,4,4,3,4,Integrated Mathematics Education,2,2,1,1,4,5,1,2,3,4,3,2,4,1,1
AshlandUniversity,38,376,7415371,18,I read the instructions,5,4,6,6,3,7,7,1,3,1,9,8,9,8,9,1,1,1,1,3,2,4,4,4,2,4,3,2,3,2,4,nursing,3,4,2,4,5,1,3,4,1,3,4,2,5,1,1
AshlandUniversity,39,398,7420043,NA,I read the instructions,4,5,5,3,6,5,6,4,3,5,6,7,3,7,7,19,3,3,2,4,4,3,3,3,2,3,3,3,3,3,4,Business Management,3,3,3,4,2,3,4,2,5,2,4,4,3,2,1
AshlandUniversity,40,402,7420112,18,I read the instructions,6,5,6,5,7,3,6,5,6,2,7,7,8,8,9,1,3,2,1,3,3,4,4,4,2,4,4,3,3,3,4,Education- Middle Grades,3,2,2,3,2,1,4,4,5,3,3,4,4,1,1
AshlandUniversity,41,409,7420211,18,I read the instructions,4,5,6,5,5,5,6,1,2,4,6,5,5,5,6,2,2,2,3,2,2,3,3,2,3,4,3,3,4,4,4,sports management,7,7,2,2,4,4,2,2,5,4,2,1,4,2,1
AshlandUniversity,42,438,7422970,18,I read the instructions,6,5,7,6,7,5,7,4,3,3,6,4,3,4,5,1,3,2,3,4,4,3,2,3,2,3,4,1,4,4,4,Psychology and Religion,3,5,4,2,3,4,4,5,3,4,3,4,2,1,1
AshlandUniversity,43,442,7423114,20,i read the instructions,5,5,6,5,5,3,5,5,5,5,4,4,1,3,3,1,2,2,2,3,3,3,2,3,2,4,3,3,3,2,3,exercise science,4,5,3,4,2,4,2,3,6,3,4,2,4,3,1
AshlandUniversity,44,459,7423644,18,NA,6,4,5,4,7,3,6,1,6,2,4,5,5,5,6,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,nursing,4,4,3,4,4,4,4,3,3,3,4,3,4,1,1
AshlandUniversity,45,462,7423839,18,i read the instructions,2,5,6,4,7,2,5,2,6,2,7,3,1,5,6,1,2,1,1,2,3,3,3,2,3,3,3,2,3,3,3,Psychology,4,6,1,2,5,1,4,4,1,3,3,4,2,1,1
AshlandUniversity,46,464,7423937,19,I read the instructions,7,2,6,5,6,2,6,1,4,2,6,5,4,4,6,1,3,3,2,3,2,2,1,3,3,3,3,3,3,3,4,Exercise Science,4,4,3,2,2,3,4,2,6,3,3,3,3,2,1
AshlandUniversity,47,466,7424023,18,NA,6,7,6,6,7,5,6,1,6,1,8,7,7,6,7,1,2,2,2,4,3,3,3,3,2,4,4,3,3,1,4,Dietetics,3,4,3,2,2,3,3,2,5,2,4,3,3,1,1
AshlandUniversity,48,522,7428326,18,I read the instructions,6,2,6,2,5,5,6,1,6,3,9,7,9,8,8,1,2,1,1,3,2,3,3,3,1,4,3,1,4,1,4,Exercise Science,1,1,2,2,2,4,2,2,5,1,4,4,2,1,1
AshlandUniversity,49,524,7428391,18,I read the instructions.,6,5,7,3,6,1,7,2,5,4,7,5,6,4,4,2,3,3,2,4,4,4,4,4,4,2,4,2,4,1,4,Undecided,4,4,4,3,4,3,3,4,5,3,4,3,4,1,1
AshlandUniversity,50,532,7428509,20,NA,3,4,6,2,5,6,7,2,5,1,6,6,3,5,6,1,2,2,1,3,3,2,4,3,4,4,2,2,3,2,4,"Environmental Science, Geology",2,3,3,2,2,3,5,4,5,5,3,3,3,4,1
AshlandUniversity,51,594,7437628,18,NA,3,1,6,1,6,6,6,2,6,3,4,5,7,7,5,1,3,2,2,4,3,3,2,4,3,4,3,3,4,2,4,nursing,2,2,2,2,2,3,4,2,7,4,4,4,2,1,1
AshlandUniversity,52,600,7437746,18,NA,7,6,6,1,6,1,7,1,7,1,7,9,8,8,9,2,4,4,3,4,4,2,2,4,4,4,4,4,2,4,4,Psychology,2,2,5,1,4,4,5,2,7,3,5,5,2,1,1
AshlandUniversity,53,606,7437914,18,NA,6,6,5,3,6,4,5,3,6,2,8,8,9,7,7,1,3,2,1,3,3,3,2,4,4,3,3,3,4,2,4,Nursing,2,2,4,2,3,4,5,1,6,4,4,3,5,1,1
AshlandUniversity,54,995,7476385,18,I read the instructions,5,6,7,3,5,6,6,1,4,1,3,1,2,2,3,1,3,2,2,4,2,1,2,4,4,4,4,2,2,2,4,Social Work,3,3,3,2,2,4,4,2,3,4,3,3,4,1,1
AshlandUniversity,55,999,7476448,19,I read the instructions,5,7,7,7,5,2,7,1,6,2,8,7,7,9,8,2,2,2,1,3,3,3,2,4,3,3,4,2,4,3,4,Exercise Science,3,3,2,2,4,3,3,4,6,2,3,3,3,1,1
AshlandUniversity,56,1007,7476582,18,I read the instructions,5,5,7,6,5,6,7,2,3,5,4,5,3,3,4,1,2,2,1,3,2,3,3,4,2,4,4,4,3,3,4,Education,2,3,4,2,4,2,2,2,5,3,3,3,4,1,1
AshlandUniversity,57,1026,7480987,19,I read the instructions,5,3,7,2,6,6,6,1,5,2,7,4,7,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,undecided,3,3,2,3,4,3,4,3,5,2,4,2,5,1,1
AshlandUniversity,58,2944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AshlandUniversity,59,2919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AshlandUniversity,60,1033,7481180,21,I read the instructions,6,5,6,2,6,1,5,3,6,5,7,4,5,3,4,2,3,4,4,4,3,2,1,3,4,3,2,2,3,2,3,Finance,2,2,3,1,4,5,4,1,6,2,4,4,2,4,1
AshlandUniversity,61,1057,7483576,18,NA,2,5,5,3,6,2,3,6,3,6,4,4,7,6,5,1,2,2,1,4,4,2,3,4,3,4,4,1,4,1,4,psychology,3,2,2,2,4,2,4,4,5,5,3,3,5,1,1
AshlandUniversity,62,1132,7490083,19,I read the instructions,4,3,6,2,7,4,5,5,6,7,7,5,8,5,6,2,3,1,1,2,3,4,4,4,2,4,2,3,3,3,3,Criminal Justice,1,1,1,4,4,3,3,2,1,3,3,4,3,1,1
AshlandUniversity,63,1137,7490187,18,I read the instructions,3,2,6,2,7,7,7,2,6,4,4,6,4,6,4,1,2,2,2,2,3,2,2,3,3,4,4,3,3,3,4,Social Work and Psychology,4,4,2,3,2,4,4,2,6,3,4,4,2,1,1
AshlandUniversity,64,1151,7490630,18,I read the instructions,6,7,6,7,5,6,7,5,2,2,8,5,6,4,7,1,2,2,2,4,4,3,3,4,3,4,4,1,2,4,4,Athletic Training,6,5,2,2,5,2,3,4,1,5,2,2,5,1,1
AshlandUniversity,65,1154,7490764,19,I read the instructions,5,2,7,6,7,7,7,7,1,1,9,6,9,6,6,1,2,2,1,3,4,2,3,3,4,4,4,3,3,4,4,Psychology,5,4,2,2,4,4,5,5,1,3,2,1,3,1,1
AshlandUniversity,66,1158,7490892,18,NA,5,5,5,6,3,5,3,2,3,5,7,4,7,6,7,1,2,1,2,3,3,3,3,3,4,3,2,3,3,2,3,Toxicology,3,2,2,2,4,2,3,4,3,3,4,3,3,1,1
AshlandUniversity,67,1164,7492474,18,I read the instructions,6,3,7,2,7,2,6,1,7,3,6,5,3,6,3,1,4,2,2,4,3,3,3,4,4,4,3,4,4,3,3,Nursing,3,2,4,1,4,2,5,2,6,3,4,2,3,1,1
AshlandUniversity,68,1170,7492594,20,go out for walk and hang out with my friends,6,5,6,4,6,3,7,2,3,3,5,5,6,5,5,1,3,2,2,2,3,3,2,2,2,2,3,2,3,3,3,English,2,2,4,2,4,4,2,1,4,3,4,3,2,3,1
AshlandUniversity,69,1346,7507300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,6,7,NA,1,1,1,3,3,3,4,4,2,3,3,3,3,3,4,NA,2,2,1,2,4,1,2,3,NA,3,4,2,3,NA,1
AshlandUniversity,7,165,7381253,19,I read the instructions,1,5,6,3,2,6,5,1,6,5,7,7,8,7,7,2,2,2,3,3,2,2,2,3,2,3,2,2,3,1,3,Forensic Biology,3,3,4,2,4,3,2,2,6,3,4,4,3,1,1
AshlandUniversity,70,1354,7507419,19,NA,7,1,6,2,6,1,6,2,6,3,4,4,6,4,5,1,2,2,1,3,3,2,3,3,1,3,3,2,2,3,3,Marketing,3,2,2,4,4,3,4,2,5,3,3,3,3,2,1
AshlandUniversity,71,1395,7510340,19,I read the instructions,7,1,7,5,7,3,7,2,5,4,9,9,9,9,7,1,3,1,1,2,4,3,3,3,4,4,4,3,3,2,4,Nursing,2,2,3,2,4,2,4,3,5,2,4,4,3,2,1
AshlandUniversity,72,1400,7510509,19,NA,2,6,7,6,6,7,7,2,5,1,4,5,3,4,5,1,2,2,2,3,4,2,2,4,4,4,4,4,3,3,3,Dietetics,3,4,3,2,4,2,4,2,3,3,2,3,3,2,1
AshlandUniversity,73,1406,7510835,18,I read the Instructions,6,4,7,3,7,6,7,1,7,3,8,5,9,8,9,1,2,1,1,4,3,3,3,4,3,4,3,3,3,4,4,Nursing,2,2,3,4,5,3,3,3,5,4,4,5,2,1,1
AshlandUniversity,74,1411,7511106,20,I read the instructions.,7,3,6,2,6,3,7,1,5,2,8,3,8,7,7,1,2,1,1,4,3,3,2,4,2,4,4,4,3,3,4,marketing,3,3,2,2,4,3,3,3,6,2,4,4,2,2,1
AshlandUniversity,75,1448,7522086,18,I read the instructions,6,3,7,7,7,1,5,2,1,3,7,5,4,7,7,1,2,2,2,4,4,3,3,4,4,4,1,1,3,3,4,nursing,6,6,4,2,4,3,2,2,1,2,2,2,4,1,1
AshlandUniversity,76,1451,7522273,18,i read the instructions,6,5,6,5,3,2,6,1,5,3,6,4,5,5,6,1,3,2,2,3,3,2,2,3,3,3,3,2,2,2,3,undecided,2,2,4,2,3,2,3,4,6,3,4,4,2,1,1
AshlandUniversity,77,1452,7522428,18,I read the instructions,5,1,7,4,6,5,7,1,6,2,7,5,7,6,8,1,4,4,4,4,3,2,1,4,4,4,3,2,3,3,4,Nursing,5,5,4,2,4,5,4,3,5,2,4,4,4,1,1
AshlandUniversity,78,1518,7530101,18,I read the instructions,6,3,7,3,6,2,6,5,6,2,6,5,6,6,6,1,2,2,1,3,3,2,3,3,3,3,2,2,2,4,4,Exercise Science,2,2,2,2,4,2,3,2,5,3,4,4,3,1,1
AshlandUniversity,79,1522,7530224,18,NA,6,5,6,3,7,1,6,2,5,2,8,5,7,6,7,1,2,2,2,3,3,3,3,3,2,4,4,2,3,2,2,Nusring,5,5,3,4,3,3,3,3,5,3,3,3,4,1,1
AshlandUniversity,8,166,7381395,18,I read the instructions,1,2,5,7,5,7,7,1,4,3,8,6,9,8,7,1,2,3,2,4,4,2,2,4,3,4,4,1,3,4,3,Nursing,1,1,4,1,3,4,4,2,1,5,2,3,4,1,1
AshlandUniversity,80,1528,7530306,19,NA,4,3,6,5,6,1,6,1,5,1,7,8,7,6,7,2,3,3,2,3,2,3,2,3,2,4,3,2,4,2,3,Business Management,2,2,2,5,4,3,3,4,7,1,5,4,2,2,1
AshlandUniversity,81,1606,7538612,19,I read the instructions,6,5,7,2,7,5,6,1,7,3,6,4,2,5,1,2,3,3,2,4,4,2,2,4,3,4,4,2,4,1,4,Business Administration,2,2,2,2,4,5,4,2,7,4,4,3,2,2,1
AshlandUniversity,82,1608,7538656,18,i read the instructions,7,5,6,5,5,1,6,2,6,2,5,5,6,4,6,1,3,1,2,3,3,2,2,4,2,3,3,1,3,2,4,nursing,2,2,2,4,4,3,2,4,5,2,5,4,2,1,1
AshlandUniversity,83,1663,7543283,18,I read the instructions,3,3,5,4,4,3,6,5,5,5,5,5,6,4,5,1,1,2,2,2,2,3,3,3,2,4,3,2,2,3,4,Social Work,3,3,2,3,4,2,3,4,5,3,3,3,4,1,1
AshlandUniversity,84,1664,7543398,19,I read the instructions,5,6,7,7,7,2,7,1,3,3,3,1,4,5,4,1,2,3,3,4,2,3,2,4,3,4,3,3,2,3,4,Finance,6,6,5,2,3,4,1,3,5,5,2,2,5,2,1
AshlandUniversity,85,1669,7543488,19,NA,7,1,6,6,6,6,6,1,5,5,9,9,9,9,9,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,PUBLIC RELATIONS,5,5,5,5,5,5,5,5,2,1,1,4,3,1,1
AshlandUniversity,86,2585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AshlandUniversity,87,1687,7543902,18,I read the instructions,6,1,7,1,7,5,6,2,6,5,6,6,7,8,6,1,3,2,2,3,4,3,2,3,3,4,2,2,2,4,4,Nursing,4,4,3,2,2,3,3,2,4,3,4,2,3,1,1
AshlandUniversity,88,1759,7551853,26,NA,6,2,6,5,5,4,6,3,7,1,6,4,5,5,6,1,2,3,3,3,2,2,1,4,4,4,4,3,3,2,3,early childhood,2,2,2,2,2,3,4,2,6,3,4,4,2,3,1
AshlandUniversity,89,1761,7551910,18,NA,4,4,5,3,5,3,4,4,3,4,3,1,3,6,5,2,2,2,1,2,2,2,2,3,3,2,2,2,2,2,3,psychology,3,3,3,3,3,2,3,3,5,1,3,3,2,1,1
AshlandUniversity,9,167,7381507,19,NA,4,5,6,4,6,6,6,2,6,2,4,3,7,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Nursing,3,2,2,3,4,2,2,4,6,3,3,3,3,1,1
AshlandUniversity,90,1764,7552032,18,I read the instructions,6,1,7,2,7,2,7,1,7,5,5,5,6,3,4,1,2,1,2,3,3,3,2,4,2,4,4,2,2,4,4,Nursing,4,4,1,3,4,3,1,2,2,2,3,2,5,1,1
AshlandUniversity,91,1822,7556602,18,I read the instructions,7,5,6,4,5,3,6,7,4,2,7,4,8,6,6,1,4,4,4,4,4,2,2,3,4,4,3,2,3,4,4,Social Work,4,5,2,4,4,3,4,4,7,4,2,3,4,1,1
AshlandUniversity,NA,159,7375800,20,I read the instructions,2,2,5,5,6,6,7,3,3,5,7,6,6,7,5,1,2,2,2,3,3,3,2,4,3,4,2,2,3,3,4,Psychology,3,2,2,2,3,3,3,2,3,4,3,4,3,3,NA
AshlandUniversity,NA,168,7384896,18,I read the instructions,7,4,7,3,7,1,6,1,3,7,3,1,3,2,3,1,2,1,1,2,2,2,3,3,4,4,4,4,4,4,4,Social Work,2,4,4,3,3,2,3,3,6,4,3,3,4,1,NA
AshlandUniversity,NA,223,7404218,18,NA,5,5,6,5,6,5,5,2,3,2,7,6,6,4,5,1,3,3,3,4,3,2,2,2,4,4,2,3,2,4,3,Nursing,3,3,3,2,4,4,4,1,3,4,3,3,2,1,NA
AshlandUniversity,NA,1685,7543842,19,I read the instructions,2,4,7,2,6,5,5,3,5,2,7,5,6,4,6,1,1,2,2,3,3,2,2,4,3,3,3,2,3,3,3,Marketing and Graphic Design,3,3,2,3,4,2,3,2,6,3,4,4,3,2,NA
AshlandUniversity,NA,288,7408123,18,I read the instructions,5,2,4,6,7,5,6,6,4,1,8,7,7,6,6,1,2,2,1,3,3,3,2,4,4,4,4,1,4,2,4,Social Work,3,3,2,4,2,3,5,2,4,3,4,3,3,1,NA
AshlandUniversity,NA,1541,7530579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AshlandUniversity,NA,169,7384974,27,i read the instructions,2,1,7,2,6,4,7,1,6,1,7,6,6,8,7,1,4,2,1,4,4,2,2,4,2,4,4,4,4,4,4,Nursing,1,1,3,1,3,4,4,3,6,2,4,4,1,1,NA
AshlandUniversity,NA,1029,7481081,18,NA,6,3,7,3,6,4,6,6,6,1,4,4,3,2,4,1,3,3,3,3,4,3,2,3,2,3,3,2,4,3,4,athletic training,2,2,3,2,2,4,4,2,6,3,3,2,5,1,NA
AshlandUniversity,NA,222,7404018,18,NA,5,3,6,5,4,7,6,2,5,4,4,6,7,7,6,1,1,2,2,3,3,3,3,4,3,3,3,3,3,3,4,nursing,2,2,3,4,5,3,2,4,4,2,4,4,4,1,NA
AshlandUniversity,NA,294,7408224,18,I read the instructions,5,2,7,5,5,2,6,1,6,1,8,3,8,6,7,1,2,2,1,2,3,3,3,4,2,4,4,1,3,4,4,Commercial Art,2,2,2,4,3,2,4,2,5,3,4,4,3,1,NA
AshlandUniversity,NA,1035,7481274,18,I read the instructions,7,2,6,3,6,1,6,1,6,2,7,5,7,3,5,1,3,3,2,2,2,2,2,4,3,3,4,3,4,2,4,Political Science & Public Relations,2,3,3,3,3,3,4,2,5,2,5,3,3,1,NA
BradleyUniversity,1,224,7404455,19,I read the instructions,6,5,7,3,5,5,6,1,4,3,9,9,7,7,9,1,2,2,2,4,3,2,2,4,3,2,3,2,3,3,3,English,2,2,4,1,3,3,4,2,5,4,3,2,3,2,61
BradleyUniversity,10,235,7404845,18,NA,6,5,6,4,6,1,6,2,7,3,4,4,7,6,7,1,3,2,1,3,2,4,3,3,2,3,3,4,4,1,3,Nursing,2,3,4,2,3,2,4,4,5,3,4,4,2,1,57A
BradleyUniversity,100,2170,7598409,20,I read the instructions,2,3,6,2,6,5,5,1,7,2,7,7,9,8,6,1,3,4,4,4,4,2,2,4,3,3,2,4,2,4,3,Dietetics,2,1,4,3,2,4,4,2,6,2,4,3,3,3,61
BradleyUniversity,101,2174,7598835,18,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,3,3,2,2,3,3,2,3,3,2,2,2,Nursing,3,3,NA,NA,NA,NA,NA,NA,5,3,4,3,5,1,61
BradleyUniversity,102,2173,7598774,19,I read the instructions,6,5,4,5,5,5,6,2,4,5,5,7,8,5,4,1,2,2,2,3,2,2,2,3,2,4,3,2,2,3,4,Business Management,3,3,3,2,4,3,3,4,4,3,4,3,2,2,63
BradleyUniversity,103,2171,7598755,23,I read the instructions,5,4,6,5,6,4,7,5,3,2,6,6,6,6,5,1,2,2,2,3,3,2,2,3,3,3,3,2,3,3,3,Elementary/Special Ed.,6,5,3,2,2,4,4,2,2,3,3,2,3,4,57b
BradleyUniversity,104,2180,7599067,18,Spend time with friends,4,5,6,4,7,5,4,2,3,3,3,3,3,3,8,2,2,2,2,2,2,3,3,3,2,4,2,2,3,1,4,undecided,5,5,4,2,4,2,4,4,4,3,2,2,3,1,61
